SAMPLE,Be_ppm,Cs_ppm,Li_ppm,Nb_ppm,P_ppm,Rb_ppm,Sn_ppm,Ta_ppm,Th_ppm,U_ppm,Y_ppm
IJSS0172,0.862,1.84,4.21,0.634,595,15.215,3.36,,3.784,0.982,6.33
IJSS0173,1.572,0.34,1.93,0.489,1504,3.838,1.55,,4.982,15.73,2.948
IJSS0174,2.097,1.03,5.68,0.77,1154,4.739,3.06,,7.625,4.04,18.346
IJSS0175,2.55,0.74,3.64,0.664,1703,3.417,2.17,,7.54,6.311,17.043
IJSS0176,0.666,1.25,4.5,2.215,166,11.394,2.47,0.006,6.369,3.45,3.671
IJSS0177,1.572,7.6,30.46,2.408,214,128.763,3.04,0.007,9.797,2.748,4.888
IJSS0178,3.474,6.03,22.54,1.46,503,85.765,4.24,0.006,6.773,3.18,9.883
IJSS0179,0.401,2.22,7.63,0.566,92,15.095,2.14,0.007,3.949,1.73,1.408
IJSS0180,1.143,2.12,6.47,0.718,469,20.415,2.08,,15.104,2.71,10.074
IJSS0181,1.64,0.83,2,0.666,745,6.078,2,0.006,14.015,4.389,5.962
IJSS0182,1.828,0.42,1.87,0.469,1166,4.083,1.82,,11.577,5.593,4.76
IJSS0183,2.111,0.74,2.86,0.807,1518,5.248,2.6,,9.868,6.136,9.469
IJSS0184,1.096,0.87,4.32,1.326,272,14.031,2.05,0.01,7.614,5.313,2.291
IJSS0185,1.561,11.31,35.6,2.323,225,208.706,2.84,,9.457,1.557,7.847
IJSS0186,2.383,8.34,46.8,1.503,314,173.534,3.32,0.005,7.105,2.536,17.508
IJSS0187,1.313,8.12,17.59,1.267,190,35.074,2.4,0.006,10.841,1.514,15.699
IJSS0188,0.747,1.35,6.46,0.565,81,11.628,1.18,,2.522,1.604,2.095
IJSS0189,1.072,2.33,10.16,0.941,334,24.205,1.34,,10.803,1.762,12.401
IJSS0190,0.892,2.14,11.37,0.626,91,19.889,1.33,,9.814,2.008,8.115
IJSS0191,0.907,1.89,3.49,0.576,393,19.015,1.35,0.006,11.849,1.86,5.823
IJSS0192,1.565,1.27,2.82,0.725,896,9.185,2.39,,13.196,5.772,6.534
IJSS0193,1.67,2.01,5.38,1,693,7.716,2.45,,7.434,3.361,12.876
IJSS0194,0.981,0.78,2.7,0.746,427,12.672,1.08,,4.677,2.566,3.637
IJSS0195,1.256,3.99,10.28,1.434,335,32.702,2.56,0.006,12.168,2.695,16.268
IJSS0196,6.59,1.82,15.65,0.545,1673,10.722,1.7,,6.748,10.35,25.78
IJSS0197,1.1,6.22,22.39,1.164,288,28.679,2.68,,12.363,1.267,13.223
IJSS0198,1.559,5.72,16.06,1.241,229,45.122,2.72,,14.314,1.374,8.51
IJSS0199,0.725,2.13,7.68,0.777,151,20.847,1.14,0.006,9.847,2.098,8.745
IJSS0200,0.708,1.99,8.22,0.738,91,20.224,1.23,0.006,3.764,0.962,2.145
IJSS0201,0.926,3.1,6.57,0.764,229,23.783,1.75,,11.434,2.969,9.012
IJSS0202,0.807,2.25,3.94,0.924,242,16.172,1.76,0.006,10.774,4.116,4.505
IJSS0203,1.703,2.72,7.53,0.855,361,13.342,2.77,,9.622,3.84,11.652
IJSS0204,1.157,3.27,9.92,1.056,371,21.504,2.42,0.005,10.654,3.015,6.27
IJSS0205,2.064,1.87,9.3,1.214,823,24.81,2.25,0.007,9.588,7.836,9.076
